"","Symbol","Chr","Length","Description","Type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Snord83b","Snord83b","chr15",77,"small nucleolar RNA, C/D box 83B","snoRNA",-0.616958831304868,0.373602525817264,-1.37671275375158,0.203487666309556,0.296770222863931,-5.4920465588188
"Cdh11","Cdh11","chr8",4216,"cadherin 11","protein-coding",0.971917167659551,0.198731733903898,1.2625498884852,0.240015158075764,0.338152021709118,-5.4927106507856
"Ly6m","Ly6m","chr15",1887,"lymphocyte antigen 6 complex, locus M","protein-coding",-1.88302541983823,-1.20188127944737,-1.26585955926761,0.239302814000337,0.337288996987236,-5.49289968660549
"Uqcrc2","Uqcrc2","chr7",1882,"ubiquinol cytochrome c reductase core protein 2","protein-coding",0.444236113139211,8.20508667450797,2.1485592170326,0.061669559315805,0.115393594175062,-5.49304816320227
"Thsd4","Thsd4","chr9",9030,"thrombospondin, type I, domain containing 4","protein-coding",-2.37080313511311,-1.57383418095386,-1.24811173495397,0.245972835204298,0.344989626425088,-5.49373018922703
"Ell2","Ell2","chr13",3652,"elongation factor for RNA polymerase II 2","protein-coding",-2.85268863375305,0.652678196091924,-1.55071243203838,0.158126020278622,0.24381593342311,-5.49394717101035
"Hpcal1","Hpcal1","chr12",1561,"hippocalcin-like 1","protein-coding",-2.92751452546121,0.413294850627308,-1.5233872153756,0.164727731853132,0.25164203619774,-5.4943561541646
"Gnb1l","Gnb1l","chr16",3650,"guanine nucleotide binding protein (G protein), beta polypeptide 1-like","protein-coding",0.476657426380148,3.6560704266747,1.77352546437344,0.111564792292651,0.185269903781494,-5.49448201331749
"Bax","Bax","chr7",869,"BCL2-associated X protein","protein-coding",-0.336919749712768,6.96847558183529,-2.14314662947929,0.0622054157440858,0.116155147945834,-5.49491403621881
"Ryk","Ryk","chr9",3267,"receptor-like tyrosine kinase","protein-coding",1.36669734170025,5.60344416040508,1.9902671866958,0.0803653434357994,0.142470146662573,-5.49591149568043
"Elfn1","Elfn1","chr5",3835,"leucine rich repeat and fibronectin type III, extracellular 1","protein-coding",2.98246668829073,1.29519908760631,1.26396062620824,0.240508699691002,0.338741471721045,-5.49638976930645
"Btk","Btk","chrX",2535,"Bruton agammaglobulinemia tyrosine kinase","protein-coding",-0.331813011281256,7.55757815656202,-2.14548367998196,0.0619734885961193,0.115822373561249,-5.49651688131649
"Pdha1","Pdha1","chrX",2761,"pyruvate dehydrogenase E1 alpha 1","protein-coding",0.484970279239354,7.93446552977699,2.14460812788554,0.0620602787922853,0.115932167663787,-5.49715045383721
"Pik3r2","Pik3r2","chr8",3159,"phosphoinositide-3-kinase regulatory subunit 2","protein-coding",0.921051414281975,6.71216192490182,2.11641630703747,0.0653406650378221,0.120878231980243,-5.49761682288878
"Ccny","Ccny","chr18",4017,"cyclin Y","protein-coding",0.631442698019064,7.02293674277596,2.13239694067799,0.0632831471205591,0.117793424038695,-5.49954967260014
"Vapa","Vapa","chr17",1643,"vesicle-associated membrane protein, associated protein A","protein-coding",0.282426656566759,7.20527055612989,2.13910021070412,0.0626089817300928,0.116779699540983,-5.49962005645066
"Pnrc2","Pnrc2","chr4",1907,"proline-rich nuclear receptor coactivator 2","protein-coding",-0.465695678834369,6.57958978456102,-2.13680126043074,0.0628394010060418,0.117128693273048,-5.49983103022837
"Rassf6","Rassf6","chr5",1958,"Ras association (RalGDS/AF-6) domain family member 6","protein-coding",3.22654738842271,-0.400298972233633,1.07265005946243,0.313555205246683,0.417076235134324,-5.50021925142391
"Shisa3","Shisa3","chr5",3754,"shisa family member 3","protein-coding",1.69190093250599,-2.15590939156297,0.987072109682231,0.350712955122953,0.455478807628224,-5.50052665798104
"Nipal3","Nipal3","chr4",5025,"NIPA-like domain containing 3","protein-coding",-0.690443590613094,4.10622263409068,-1.94705925383772,0.0849691842885709,0.14887499556379,-5.5018101930661
"Thoc1","Thoc1","chr18",3855,"THO complex 1","protein-coding",0.554771962335809,6.65367648045017,2.12071438375089,0.0644750248956931,0.119600330856725,-5.50238590058603
"Trp53","Trp53","chr11",1868,"transformation related protein 53","protein-coding",-0.315343919022407,7.97362703231073,-2.14278423371292,0.062241455334787,0.116206395689265,-5.50299262667729
"Fam209","Fam209","chr2",649,"family with sequence similarity 209","protein-coding",-0.69234539074362,0.121977179406318,-1.34019858461221,0.21461833615471,0.309168391556343,-5.5033185535195
"Arg1","Arg1","chr10",1477,"arginase, liver","protein-coding",0.86618939735423,-1.0739533596828,1.13114825047206,0.288645307490996,0.390707098066449,-5.50375491084033
"9130401M01Rik","9130401M01Rik","chr15",1309,"RIKEN cDNA 9130401M01 gene","protein-coding",0.600936323732413,4.70351072312664,1.92356455890724,0.088181319506813,0.153262939646208,-5.50427538630341
"Snora44","Snora44","chr4",117,"small nucleolar RNA, H/ACA box 44","snoRNA",0.656543806141482,-0.0598217545534024,1.24205315634317,0.247123570768053,0.346182946576341,-5.5054489797137
"Igsf8","Igsf8","chr1",2234,"immunoglobulin superfamily, member 8","protein-coding",0.91896263912726,6.77977443663159,2.11384525346012,0.0656081187445609,0.121296760585208,-5.50656081624328
"Kdm2a","Kdm2a","chr19",7268,"lysine (K)-specific demethylase 2A","protein-coding",0.407590879680895,6.90723812135687,2.128320816886,0.0636965448537336,0.118416194550712,-5.50734085293185
"BC049715","BC049715","chr6",1138,"cDNA sequence BC049715","protein-coding",1.46443830727191,0.711638492095734,1.27935484671187,0.234314832465063,0.331849884755432,-5.50769189462775
"Mov10","Mov10","chr3",3772,"Mov10 RISC complex RNA helicase","protein-coding",-0.693957466488001,4.24240505719163,-1.96407134124949,0.0827132991083584,0.145715507132784,-5.50770028592548
"6720468P15Rik","6720468P15Rik","chr19",1785,"RIKEN cDNA 6720468P15 gene","ncRNA",3.1502537943557,-0.730873097271715,1.03818125811765,0.328416793399905,0.432883940686305,-5.50840859962881
"Tbx21","Tbx21","chr11",2552,"T-box 21","protein-coding",2.59901074448175,-3.07063803944071,0.929514106635219,0.382255846608883,0.487454616806442,-5.50859380888286
"Med12l","Med12l","chr3",10249,"mediator complex subunit 12-like","protein-coding",-1.45153208516934,-0.0470543729804984,-1.36324259330619,0.207576863747453,0.301401071169384,-5.50882127298032
"Gja3","Gja3","chr14",1411,"gap junction protein, alpha 3","protein-coding",2.11884104415303,-3.40994223841673,0.91937825926026,0.386901439411917,0.491570603485109,-5.50940840720503
"Ccl28","Ccl28","chr13",3740,"chemokine (C-C motif) ligand 28","protein-coding",1.59946653353419,-3.01812728025284,0.929067111267692,0.378284112321729,0.483758581547536,-5.50942820562325
"Kctd13","Kctd13","chr7",1654,"potassium channel tetramerisation domain containing 13","protein-coding",-0.392124458522934,3.82129325098838,-1.86911626844532,0.0960743346368415,0.16418365503346,-5.50971372621082
"1110006O24Rik","1110006O24Rik","chr5",768,"RIKEN cDNA 1110006O24 gene","ncRNA",-0.591133562512988,0.616855267935775,-1.39436188180457,0.198287811979957,0.290894269484239,-5.51038408476158
"Lrrc41","Lrrc41","chr4",2869,"leucine rich repeat containing 41","protein-coding",0.364615108513528,6.09167532681867,2.09375521076968,0.0673093449726092,0.123855423703681,-5.51093161148007
"Pla2g6","Pla2g6","chr15",3725,"phospholipase A2, group VI","protein-coding",0.970632756345251,4.36298825524582,1.82596345348653,0.102799037685656,0.173331561110832,-5.51137537961277
"Ddx59","Ddx59","chr1",2228,"DEAD box helicase 59","protein-coding",0.515149254218342,3.83013311037694,1.78586497908078,0.109441419204435,0.182415856639937,-5.51267953925914
"Pitpnc1","Pitpnc1","chr11",6350,"phosphatidylinositol transfer protein, cytoplasmic 1","protein-coding",0.740752989700903,4.38334451550752,1.85395422462474,0.0983884489378153,0.167439926757483,-5.51317303331164
"H3c6","H3c6","chr13",411,"H3 clustered histone 6","protein-coding",-1.06848700991401,-1.13741241444025,-1.2120241173298,0.257851446966767,0.357669733694422,-5.51326793730383
"Pecam1","Pecam1","chr11",3305,"platelet/endothelial cell adhesion molecule 1","protein-coding",-1.62272449125745,4.75864008765768,-2.06289552607235,0.071690732751109,0.129902224273351,-5.51414942582754
"Tlr9","Tlr9","chr9",3471,"toll-like receptor 9","protein-coding",-0.643664300329092,3.41925214014938,-1.82127533558758,0.103555673104329,0.174216281702579,-5.51458855164562
"Papolg","Papolg","chr11",3764,"poly(A) polymerase gamma","protein-coding",-0.362229083800627,4.60145393896818,-1.98655381174299,0.079819712748051,0.141763081054302,-5.51499792160344
"Tbrg1","Tbrg1","chr9",1565,"transforming growth factor beta regulated gene 1","protein-coding",-2.30245657700216,5.24712601590116,-2.09914052644483,0.0677082356238952,0.124369386478833,-5.51524125531641
"Snora21","Snora21","chr11",128,"small nucleolar RNA, H/ACA box 21","snoRNA",-0.570275905865699,-1.02947124831191,-1.19714398702256,0.263307298585947,0.363766014527494,-5.5155373277617
"Tnfrsf21","Tnfrsf21","chr17",3626,"tumor necrosis factor receptor superfamily, member 21","protein-coding",-3.22899710856182,2.9975645264999,-1.88849657829397,0.0942345812093284,0.161652597377738,-5.51572068511538
"AI987944","AI987944","chr7",2931,"expressed sequence AI987944","protein-coding",-0.353853683988725,4.15545075581015,-1.91952390949983,0.0887452635425571,0.153974683479907,-5.5159340607367
"Crlf3","Crlf3","chr11",2354,"cytokine receptor-like factor 3","protein-coding",0.298038748450661,6.87688167386037,2.12325369612972,0.0642141152349816,0.119263606056619,-5.51664162510828
"Synj2","Synj2","chr17",5597,"synaptojanin 2","protein-coding",-1.4169441246497,2.59863951512719,-1.74116190894797,0.11802775560867,0.193460211369237,-5.51721319308528
"Skp1","Skp1","chr11",1454,"S-phase kinase-associated protein 1","protein-coding",0.323960511580872,7.51749588598736,2.12988538415521,0.0635375574942877,0.118201887022601,-5.51730929133728
"Ms4a6b","Ms4a6b","chr19",1687,"membrane-spanning 4-domains, subfamily A, member 6B","protein-coding",-1.97708053084958,-2.76160913130393,-1.09140622207764,0.305199857239474,0.408372812442843,-5.51810793347343
"Ifitm5","Ifitm5","chr7",709,"interferon induced transmembrane protein 5","protein-coding",-1.44480122149036,-4.05833513890471,-0.943862921247261,0.371080370782164,0.476614751577786,-5.51814487867188
"Marchf1","Marchf1","chr8",4822,"membrane associated ring-CH-type finger 1","protein-coding",-0.948013742250541,0.30815965845958,-1.37122018892396,0.205129666568451,0.298533238377815,-5.51914642368418
"B9d1","B9d1","chr11",785,"B9 protein domain 1","protein-coding",-0.498262447881507,2.46731822495753,-1.64961746465546,0.13510531047462,0.215597651708644,-5.51919554672049
"Lsm14a","Lsm14a","chr7",2724,"LSM14A mRNA processing body assembly factor","protein-coding",0.376422383814113,7.60452445907059,2.12898108940885,0.0636294024542688,0.11830763896922,-5.51921866936335
"Slain1os","Slain1os","chr14",3091,"SLAIN motif family, member 1, opposite strand","ncRNA",0.743040789418431,-0.518429313452847,1.17736214058076,0.270705710662739,0.371255899571041,-5.51989066763566
"Clstn1","Clstn1","chr4",3319,"calsyntenin 1","protein-coding",-2.64818096637606,2.97398014371892,-1.86768992335987,0.097338138771107,0.165861244401278,-5.51998288013935
"Pgam2","Pgam2","chr11",906,"phosphoglycerate mutase 2","protein-coding",-0.888683191254861,1.67946228462998,-1.56083277876031,0.154673579500056,0.239503145719223,-5.52020998810796
"Adamtsl2","Adamtsl2","chr2",3242,"ADAMTS-like 2","protein-coding",-0.879454724124087,0.159092684782829,-1.34283326019261,0.213798155360178,0.308249611710916,-5.52057152147065
"Fbxl8","Fbxl8","chr8",1901,"F-box and leucine-rich repeat protein 8","protein-coding",-0.469358050344181,2.64167193813748,-1.67317531917499,0.130305436955526,0.209372084655239,-5.52120363047908
"Nectin4","Nectin4","chr1",3504,"nectin cell adhesion molecule 4","protein-coding",0.865609915447746,-1.47494122924065,1.0745175514263,0.311904652111162,0.415289296031021,-5.52163281748892
"Kcnj10","Kcnj10","chr1",5407,"potassium inwardly-rectifying channel, subfamily J, member 10","protein-coding",1.43457117542504,-3.14623747878062,0.911240531851693,0.387076634009675,0.491746985666148,-5.52171222641481
"Wrn","Wrn","chr8",6383,"Werner syndrome RecQ like helicase","protein-coding",0.408285232606128,5.80006755768146,2.06316169220211,0.0706722048123624,0.128452598637983,-5.52304538414992
"Mrpl1","Mrpl1","chr5",4170,"mitochondrial ribosomal protein L1","protein-coding",0.530635396691568,5.26430508544999,1.9999810602821,0.0781380915662184,0.13928874569108,-5.52329909833346
"Taok2","Taok2","chr7",6884,"TAO kinase 2","protein-coding",-0.373207639583622,6.65114332434964,-2.12187722080413,0.0643554177846469,0.119394841364738,-5.52343118415271
"Pdzd2","Pdzd2","chr15",13413,"PDZ domain containing 2","protein-coding",-2.37056204870119,2.26634808562766,-1.75282522228752,0.116281151304,0.19115348897038,-5.5240067221649
"Repin1","Repin1","chr6",3146,"replication initiator 1","protein-coding",-2.06433878373618,3.36615452960387,-1.89679432838777,0.0930232754182536,0.159919606729842,-5.52431312286251
"Sp2","Sp2","chr11",3036,"Sp2 transcription factor","protein-coding",-0.322520735021708,5.5276193451102,-2.07434512393101,0.0694244697711802,0.126746996459105,-5.52478662027177
"Ube2g2","Ube2g2","chr10",1982,"ubiquitin-conjugating enzyme E2G 2","protein-coding",0.409055919815306,6.10123516584772,2.08349775133314,0.0684192017453593,0.125317803684503,-5.52513043290723
"Chrac1","Chrac1","chr15",851,"chromatin accessibility complex 1","protein-coding",0.3959615686027,5.35258899622937,2.01937192713906,0.075769494323262,0.135766389979913,-5.52513498883014
"Ret","Ret","chr6",7341,"ret proto-oncogene","protein-coding",-1.45917318976291,-2.40634731061283,-1.09349034868031,0.303953743955109,0.406947081098825,-5.52523910478793
"Kcne1","Kcne1","chr16",3155,"potassium voltage-gated channel, Isk-related subfamily, member 1","protein-coding",2.19177718626473,-3.35766736988693,0.900965450232077,0.396117752453384,0.501114158956044,-5.52639411941118
"Ofd1","Ofd1","chrX",4453,"OFD1, centriole and centriolar satellite protein","protein-coding",-0.458260616397492,4.7773385484705,-2.00709995285227,0.0772603694739323,0.138033490440941,-5.52666782291527
"Wdr47","Wdr47","chr3",4223,"WD repeat domain 47","protein-coding",-0.460796182758155,2.80798471144639,-1.69626144569622,0.125753665655134,0.203679361921786,-5.52673583758864
"Ipp","Ipp","chr4",2118,"IAP promoted placental gene","protein-coding",0.534140395741197,4.08770650189508,1.81400973872928,0.104738622036883,0.176009310037372,-5.52706673047657
"Heyl","Heyl","chr4",4532,"hairy/enhancer-of-split related with YRPW motif-like","protein-coding",-1.64716712152141,-2.34845690901201,-1.10653822046893,0.298683488591082,0.40124187275112,-5.52739356134858
"Foxq1","Foxq1","chr13",2807,"forkhead box Q1","protein-coding",2.26369574482526,-2.16531176415975,0.930503096280747,0.378211669348882,0.483711689487914,-5.52770376980449
"Mmaa","Mmaa","chr8",2843,"methylmalonic aciduria (cobalamin deficiency) type A","protein-coding",-0.48191767791866,1.96598623130386,-1.56554889317673,0.15357312092182,0.238153706615887,-5.52895266170211
"Ccdc32","Ccdc32","chr2",1870,"coiled-coil domain containing 32","protein-coding",-0.322298269412114,4.60783624419653,-1.97549908219705,0.0812301805351021,0.143699415911099,-5.52967123619301
"Cct4","Cct4","chr11",1966,"chaperonin containing Tcp1, subunit 4 (delta)","protein-coding",0.527476193581362,8.99981419774884,2.12710550700165,0.0638203087509489,0.118597360448266,-5.53002080845832
"Coq10b","Coq10b","chr1",1733,"coenzyme Q10B","protein-coding",-0.557235949676698,3.0309538969868,-1.73604122256574,0.118252293838044,0.193781270753143,-5.53004567774826
"Cdkn2aip","Cdkn2aip","chr8",3494,"CDKN2A interacting protein","protein-coding",0.347165144977693,5.07289827131292,1.9850483859314,0.0800104001953134,0.142027126301803,-5.53031145836426
"Gm2848","Gm2848","chr13",733,"predicted gene 2848","ncRNA",-0.697638790378421,0.0853835229965388,-1.31357321465432,0.223058052474095,0.318576943857847,-5.53070405356846
"AA465934","AA465934","chr11",389,"expressed sequence AA465934","ncRNA",0.57009810500395,2.07059860761939,1.50022667740498,0.169456004592679,0.257410924401485,-5.53070970857247
"Cited2","Cited2","chr10",1969,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2","protein-coding",-0.595160676757315,6.08308579819348,-2.10583039360168,0.066025181559052,0.121957169379774,-5.53251221241111
"Ndrg2","Ndrg2","chr14",2157,"N-myc downstream regulated gene 2","protein-coding",-1.51400272440961,-2.16659242233775,-1.1121362771621,0.296295722238199,0.398543594827275,-5.53315763437848
"Clk4","Clk4","chr11",1892,"CDC like kinase 4","protein-coding",-0.445040876333087,5.5295380090344,-2.07334070100693,0.0695356562616514,0.126881458611847,-5.53366767072867
"Hoxc4","Hoxc4","chr15",1983,"homeobox C4","protein-coding",4.63739787948808,0.0457736596907882,1.00117121228195,0.344971843069935,0.449360721594276,-5.53458329869835
